bairro,desc,tipo,imagem,area total,area util,valor
Saguacu,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465201930/26632901930.jpg,133 M² TOTAL,133 M² ÚTIL,2100.0
Anita Garibaldi,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1470501930/26050101930.jpg,"98,8 M² TOTAL","76,6 M² ÚTIL",2100.0
Anita Garibaldi,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1469701930/26047401930.jpg,"77,8 M² TOTAL","74,8 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/808901930/27032001930.jpg,"176,4 M² TOTAL","176,4 M² ÚTIL",2100.0
Anita Garibaldi,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1468601930/26045801930.jpg,"54,1 M² TOTAL","51,1 M² ÚTIL",2050.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1261901930/26803001930.jpg,50 M² TOTAL,40 M² ÚTIL,2000.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1487701930/26709101930.jpg,147 M² TOTAL,"133,62 M² ÚTIL",2000.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1476301930/26436101930.jpg,"106,85 M² TOTAL","86,73 M² ÚTIL",2000.0
Iririu,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1392601930/23371601930.jpg,160 M² TOTAL,160 M² ÚTIL,2000.0
Nova Brasilia,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1318601930/20603401930.jpg,200 M² TOTAL,200 M² ÚTIL,2000.0
Floresta,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1134001930/15462801930.jpg,2287 M² TOTAL,2287 M² ÚTIL,2000.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1102201930/14838701930.jpg,"116,3 M² TOTAL","116,3 M² ÚTIL",2000.0
Iririu,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/257801930/12371601930.jpg,"575,55 M² TOTAL","575,55 M² ÚTIL",2000.0
Anita Garibaldi,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1470401930/26049101930.jpg,"146,8 M² TOTAL","70,6 M² ÚTIL",2000.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1266001930/19315201930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",2000.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1344601930/24582401930.jpg,112 M² TOTAL,100 M² ÚTIL,2000.0
